ID,Principle,Principle Name,Title,Description,Status,Frequency,Type,Keywords,URL,EU AI Act,ISO 42001,NIST AI RMF,OWASP Top 10,MITRE ATLAS,CSA AICM
C010,C,Safety,Third-party testing for harmful outputs,"Appoint expert third parties to evaluate system robustness to harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception at least every 3 months",Mandatory,Every 3 months,Preventative,"Harmful Outputs, Distressed, Angry, Advice, Offensive, Bias, Risk Severity, Toxigen, Third-Party Testing",/safety/3rd-party-testing-for-harmful-outputs,Article 9,A.6.2.4,"GOVERN 4.3, MANAGE 2.2, MEASURE 1.3, MEASURE 2.1, MEASURE 2.6, MEASURE 2.11, MEASURE 4.1, MEASURE 4.2",,"","GRC-11, A&A-02, TVM-06"
C011,C,Safety,Third-party testing for out-of-scope outputs,"Appoint qualified external assessors to evaluate system robustness against out-of-scope outputs (e.g., political discussion, healthcare advice) at minimum quarterly intervals",Mandatory,Every 3 months,Preventative,"Out-of-Scope, Political Discussion, Third-Party Testing",/safety/3rd-party-testing-for-out-of-scope-outputs,,A.6.2.4,"GOVERN 4.3, MANAGE 2.2, MAP 2.2, MEASURE 1.3, MEASURE 2.1, MEASURE 2.6, MEASURE 4.1, MEASURE 4.2",,"",""
C012,C,Safety,Third-party testing for customer-defined risk,"Appoint expert third-parties to evaluate system robustness to additional high-risk outputs as defined in risk taxonomy at least every 3 months",Mandatory,Every 3 months,Preventative,"High-Risk Outputs, Risk Taxonomy, Third-Party Testing",/safety/3rd-party-testing-for-other-risk,,A.6.2.4,"GOVERN 4.3, MANAGE 2.2, MEASURE 1.3, MEASURE 2.1, MEASURE 2.6, MEASURE 4.1, MEASURE 4.2",,"","A&A-02, TVM-06"
D001,D,Reliability,Prevent hallucinated outputs,"Implement safeguards or technical controls to prevent hallucinated outputs",Mandatory,Every 12 months,Preventative,"Hallucinations, Technical Controls",/reliability/prevent-hallucinated-outputs,,,MEASURE 2.5,"LLM05:25, LLM09:25",,"AIS-09, MDS-10, MDS-11"
D002,D,Reliability,Third-party testing for hallucinations,"Appoint qualified external assessors to evaluate hallucinated outputs at minimum quarterly intervals",Mandatory,Every 3 months,Preventative,"Hallucinations, Third-Party Testing",/reliability/3rd-party-testing-for-hallucinations,,A.6.2.4,"GOVERN 4.3, MANAGE 2.2, MEASURE 1.3, MEASURE 2.1, MEASURE 2.5, MEASURE 4.1, MEASURE 4.2",LLM09:25,,"AIS-09, AIS-05, MDS-06, MDS-07"
D003,D,Reliability,Restrict unsafe tool calls,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Mandatory,Every 12 months,Preventative,"Tool Calls, Tool Selection, Technical Controls",/reliability/restrict-unsafe-tool-calls,Article 72,,GOVERN 6.1,"LLM06:25, LLM08:25, LLM10:25","AML-M0004, AML-M0024","AIS-10, AIS-06, AIS-13, AIS-11, MDS-10, MDS-11, TVM-11, TVM-12"
D004,D,Reliability,Third-party testing of tool calls,"Appoint expert third parties to evaluate tool calls within AI systems, specifically assessing risks including unauthorized action execution, restricted information access, or decisions exceeding intended scope",Mandatory,Every 3 months,Preventative,"Tool Calls, Tool Selection, Third-Party Testing",/reliability/3rd-party-testing-of-tool-calls,,A.6.2.4,"GOVERN 6.1, GOVERN 4.3, MANAGE 2.2, MEASURE 1.3, MEASURE 2.1, MEASURE 2.6, MEASURE 4.1, MEASURE 4.2",LLM06:25,,AIS-05
E001,E,Accountability,AI failure plan for security breaches,"Document AI failure plan for AI privacy and security breaches assigning accountable owners and establishing notification and remediation with third-party support as needed",Mandatory,Every 12 months,Preventative,"Incident Response, Security, Privacy, Regulatory Deadlines",/accountability/ai-failure-plan-for-security-breaches,"Article 20, Article 73","A.8.4, A.8.5","GOVERN 4.3, MANAGE 1.3, MANAGE 4.3",,"","BCR-09, BCR-10, SEF-01 to SEF-09"
E002,E,Accountability,AI failure plan for harmful outputs,"Document a comprehensive response plan addressing harmful AI outputs causing significant customer harm, assigning accountability and establishing remediation procedures",Mandatory,Every 12 months,Preventative,"Incident Response, Emergency Response, Harmful Outputs, Hallucinations, Vendors",/accountability/ai-failure-plan-for-harmful-outputs,"Article 20, Article 73",A.8.4,"GOVERN 4.3, MANAGE 1.3, MANAGE 4.3",,"","BCR-09, BCR-10, SEF-09"
E003,E,Accountability,AI failure plan for hallucinations,"Document procedures addressing hallucinated AI outputs causing substantial customer financial loss, including accountability assignment and remediation processes",Mandatory,Every 12 months,Preventative,"Hallucinations, Incident Response, Customer Loss",/accountability/ai-failure-plan-for-hallucinations,"Article 20, Article 73",A.8.4,"GOVERN 4.3, MANAGE 1.3, MANAGE 4.3",,"","BCR-09, BCR-10, SEF-09"
E004,E,Accountability,Assign accountability,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",Mandatory,Every 12 months,Preventative,"Decision Owners, Deployment",/accountability/assign-accountability,"Article 17, Article 18","A.3.2, A.4.6, A.6.2.2, A.10.2, 5.1, 5.3, 7.2","GOVERN 2.1, GOVERN 2.3, MAP 3.5, MEASURE 2.8",,AML-M0013,"AIS-01, AIS-04, CCC-01, CCC-03, CCC-05, CEK-02, GRC-06, MDS-09"
E005,E,Accountability,Assess cloud vs on-prem processing,"Establish criteria for selecting cloud provider, and circumstances for on-premises processing considering data sensitivity, regulatory requirements, security controls, and operational needs",Mandatory,Every 12 months,Preventative,"Deployment, Cloud Security, On-Premise Security, Data Residency",/accountability/assess-cloud-vs-on-prem-processing,,,MAP 4.2,LLM03:25,AML-M0017,"DCS-01 to DCS-15, AIS-05"
E006,E,Accountability,Conduct vendor due diligence,"Establish AI vendor due diligence processes for foundation and upstream model providers covering data handling, PII controls, security and compliance",Mandatory,Every 12 months,Preventative,"Vendor Due Diligence, Open-Source, Foundation Models, Upstream Models",/accountability/conduct-vendor-due-diligence,"Article 23, Article 24",A.10.3,MAP 4.2,LLM03:25,,"STA-01, STA-08 to STA-15"
E007,E,Accountability,Document system change approvals,"Define approval processes for material changes to AI systems (model versions, access controls, data sources) requiring formal review and sign-off",Optional,Every 12 months,Detective,"Approvals, Workflows",/accountability/document-system-change-approvals,"Article 17, Article 18","A.6.2.2, A.6.2.4, 6.3","GOVERN 2.1, GOVERN 2.3, MANAGE 1.1, MAP 3.5, MEASURE 2.8, MEASURE 4.3",,"","CCC-01, CCC-03, CCC-04, CCC-05, CCC-06, AIS-01"
E008,E,Accountability,Review internal processes,"Establish regular internal reviews of key processes and document review records and approvals",Mandatory,Every 12 months,Preventative,"Internal Reviews, Documentation",/accountability/review-internal-processes,Article 43,"A.3.3, A.2.3, A.2.4, 6.3, 7.5.2, 9.2.1, 9.2.2, 9.3.1, 9.3.2, 9.3.3","GOVERN 1.7, GOVERN 5.2, GOVERN 5.1, MANAGE 4.2, MEASURE 1.2, MEASURE 2.13",,"","A&A-02, A&A-03, A&A-05, A&A-06, GRC-03, IAM-03, IAM-08, LOG-07"
E009,E,Accountability,Monitor third-party access,"Implement systems to monitor third party access",Optional,Every 12 months,Preventative,"Access, Logins, Application",/accountability/monitor-3rd-party-access,Article 72,,"GOVERN 1.5, MANAGE 4.1","LLM03:25, LLM05:25, LLM06:25, LLM10:25",AML-M0024,"AIS-10, LOG-05, UEM-14, TVM-05"
E010,E,Accountability,Establish AI acceptable use policy,"Establish and implement a policy that defines prohibited AI usage, implements detection/monitoring tools, and provides user feedback when violations occur",Mandatory,Every 12 months,Preventative,"Acceptable Use, Breach",/accountability/establish-ai-acceptable-use-policy,,"A.2.2, A.9.2, A.9.4, A.2.4, A.9.3, 4.1, 4.3, 5.2","GOVERN 1.2, MAP 1.6, MAP 3.3, MAP 3.4, MEASURE 2.4",LLM10:25,,GRC-09
E011,E,Accountability,Record processing locations,"Document AI data processing locations",Mandatory,Every 12 months,Preventative,"Data Processing, Storage Location, Data Protections",/accountability/record-processing-locations,Article 11,A.7.5,GOVERN 1.6,,"","DSP-13, DSP-19, UEM-04"
E012,E,Accountability,Document regulatory compliance,"Document applicable AI laws and standards, required data protections, and strategies for compliance",Mandatory,Every 6 months,Preventative,"Regulatory, EU, NY, NIST, ISO, GDPR",/accountability/document-regulatory-compliance,"Articles 16, 18, 21, 22, 25, 26, 43, 44, 47, 48, 49","A.2.3, A.8.5, 10.2","GOVERN 1.1, GOVERN 1.7, MAP 1.1, MAP 4.1",,"","A&A-04, DSP-10, DSP-18, GRC-07, HRS-10"
E013,E,Accountability,Implement quality management system,"Establish a quality management system for AI systems proportionate to the size of the organization",Optional,Every 12 months,Preventative,"EU, Quality management, Regulatory",/accountability/implement-quality-management-system,"Articles 9, 10, 11, 12, 16, 17, 18, 19, 26, 43, 72, 73","A.5.2, A.6.2.7, A.5.3, A.5.4, A.4.2, 4.4, 6.1.4, 7.1","GOVERN 1.4, GOVERN 1.3",,"","AIS-01, AIS-03, BCR-02, GRC-02, GRC-10, MDS-02"
E014,E,Accountability,Share transparency reports,"Establish policies for sharing transparency reports with relevant stakeholders including regulators and customers",Optional,Every 12 months,Preventative,Transparency,/accountability/share-transparency-reports,Article 11,"A.6.2.7, A.8.2, A.8.5, 7.4","MANAGE 4.2, MANAGE 4.3, MAP 1.6, MAP 5.2, MEASURE 2.8, MEASURE 2.9, MEASURE 4.2",,"","GRC-14, TVM-09, TVM-10, A&A-06, LOG-13, LOG-10, SEF-05, SEF-07"
E015,E,Accountability,Log model activity,"Maintain logs of AI system processes, actions, and model outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Mandatory,Every 12 months,Detective,"Explainability, Logs",/accountability/log-model-activity,"Article 12, Article 19",A.6.2.8,"MEASURE 2.4, MEASURE 2.8",LLM10:25,AML-M0024,"LOG-01 to LOG-15, MDS-10, SEF-05, SEF-07"
E016,E,Accountability,Implement AI disclosure mechanisms,"Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than human operators",Mandatory,Every 12 months,Preventative,"Labelling, Transparency",/accountability/implement-ai-disclosure-mechanisms,"Article 13, Article 50",A.8.2,"MAP 2.2, MAP 3.4, MEASURE 2.8",,, GRC-15
E017,E,Accountability,Document system transparency policy,"Establish a system transparency policy and maintain a repository of model cards, datasheets, and interpretability reports for major systems",Optional,Every 12 months,Preventative,"Transparency, System Cards",/accountability/document-system-transparency-policy,Article 11,"A.4.2 to A.4.5, A.6.2.3, A.2.2, A.2.4, 4.3, 5.2","GOVERN 1.2, GOVERN 1.6, MAP 1.6, MEASURE 2.8, MEASURE 2.9, MEASURE 4.3",,"AML-M0023, AML-M0025","GRC-13, GRC-14, MDS-03 to MDS-05, STA-16, DSP-20"
F001,F,Society,Prevent AI cyber misuse,"Implement or document guardrails to prevent AI-enabled misuse for cyber attacks and exploitation",Mandatory,Every 12 months,Preventative,Cyber Attacks,/society/prevent-ai-cyber-misuse,,A.5.5,MEASURE 2.7,,"","GRC-02, GRC-09, GRC-10, GRC-12, TVM-11"
F002,F,Society,Prevent catastrophic misuse,"Implement or document guardrails to prevent AI-enabled catastrophic system misuse involving chemical, biological, radiological, or nuclear (CBRN) weapons development or mass harm scenarios",Mandatory,Every 12 months,Detective,"CBRN, Chemical, Bioweapon, Radioactive, Nuclear",/society/prevent-catastrophic-misuse,,A.5.5,,,"","GRC-02, GRC-09, GRC-10, GRC-12, TVM-11"
